OPName,Latency,Device,Torch Version,CUDNN Version,Kernel Name,Warps per SM,Blocks per SM,Grid x,Grid y,Grid z,Block x,Block y,Block z,CUDA Version,Kernels,B,Input_Channel,Output_Channel,Kernel_Szie,Input_Size,Stride,Padding
conv,0.3080853323141734,Tesla T4,p2.1.0,8902,cudnn_infer_volta_scudnn_128x32_relu_small_nn_v1,57.0,28.5,19,60,1,64,1,1,cu121,";void cask_cudnn_infer::computeoffsetskernel<false, false>(cask_cudnn_infer::computeoffsetsparams);cudnn_infer_volta_scudnn_128x32_relu_small_nn_v1",20,16,1912,3,11,1,1
conv,4.398666858673096,Tesla T4,p2.1.0,8902,volta_sgemm_128x64_nn,129.6,32.4,4,9,36,128,1,1,cu121,";void cudnn::winograd_nonfused::winogradforwarddata4x4<float, float>(cudnn::winograd_nonfused::winograddataparams<float, float>);void cudnn::winograd_nonfused::winogradforwardfilter4x4<float, float>(cudnn::winograd_nonfused::winogradfilterparams<float, float>);volta_sgemm_128x64_nn;void cudnn::winograd_nonfused::winogradforwardoutput4x4<float, float>(cudnn::winograd_nonfused::winogradoutputparams<float, float>)",42,798,556,3,11,1,1
conv,0.2039360006650289,Tesla T4,p2.1.0,8902,cudnn_infer_volta_scudnn_128x64_relu_xregs_large_nn_v1,10.2,2.55,6,17,1,128,1,1,cu121,";void cask_cudnn_infer::computeoffsetskernel<false, false>(cask_cudnn_infer::computeoffsetsparams);cudnn_infer_volta_scudnn_128x64_relu_xregs_large_nn_v1",29,43,1081,3,5,1,1
conv,1.2547093629837036,Tesla T4,p2.1.0,8902,cudnn_infer_volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,120.0,15.0,75,4,2,256,1,1,cu121,";void cudnn::winograd::generatewinogradtileskernel<0, float, float>(cudnn::winograd::generatewinogradtilesparams<float, float>);cudnn_infer_volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1",25,261,90,3,25,1,1
conv,0.648149331410726,Tesla T4,p2.1.0,8902,cudnn_infer_volta_scudnn_128x64_3dconv_fprop_small_nn_v1,3.8,0.95,19,2,1,128,1,1,cu121,;void cask_cudnn_infer::computeoffsetskernel3d<false>(cask_cudnn_infer::computeoffsetsparams);cask_cudnn_infer::computeboffsetskernel(cask_cudnn_infer::computeboffsetsparams);cudnn_infer_volta_scudnn_128x64_3dconv_fprop_small_nn_v1,8,513,70,3,17,1,1
conv,0.6913066705067953,Tesla T4,p2.1.0,8902,volta_sgemm_64x64_nn,12.6,6.3,7,1,36,64,1,1,cu121,";void cudnn::winograd_nonfused::winogradforwarddata4x4<float, float>(cudnn::winograd_nonfused::winograddataparams<float, float>);void cudnn::winograd_nonfused::winogradforwardfilter4x4<float, float>(cudnn::winograd_nonfused::winogradfilterparams<float, float>);volta_sgemm_64x64_nn;void cudnn::winograd_nonfused::winogradforwardoutput4x4<float, float>(cudnn::winograd_nonfused::winogradoutputparams<float, float>)",12,586,59,3,17,1,1
conv,0.4049279987812042,Tesla T4,p2.1.0,8902,cudnn_infer_volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,31.2,3.9,78,2,1,256,1,1,cu121,";void cudnn::winograd::generatewinogradtileskernel<0, float, float>(cudnn::winograd::generatewinogradtilesparams<float, float>);cudnn_infer_volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1",3,213,829,3,14,1,1
conv,3.2385706901550293,Tesla T4,p2.1.0,8902,cudnn_infer_volta_scudnn_128x64_3dconv_fprop_small_nn_v1,6.6,1.65,3,22,1,128,1,1,cu121,;void cask_cudnn_infer::computeoffsetskernel3d<false>(cask_cudnn_infer::computeoffsetsparams);cask_cudnn_infer::computeboffsetskernel(cask_cudnn_infer::computeboffsetsparams);cudnn_infer_volta_scudnn_128x64_3dconv_fprop_small_nn_v1,13,1558,1352,3,5,1,1
conv,1.429898699124654,Tesla T4,p2.1.0,8902,cudnn_infer_volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,22.0,2.75,55,2,1,256,1,1,cu121,";void cudnn::winograd::generatewinogradtileskernel<0, float, float>(cudnn::winograd::generatewinogradtilesparams<float, float>);cudnn_infer_volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1",55,1658,29,3,11,1,1
conv,2.4799680709838867,Tesla T4,p2.1.0,8902,cudnn_infer_volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,518.4,64.8,16,18,9,256,1,1,cu121,";void cudnn::winograd::generatewinogradtileskernel<0, float, float>(cudnn::winograd::generatewinogradtilesparams<float, float>);cudnn_infer_volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1",16,88,13,3,142,1,1
