OPName,Latency,Device,Torch Version,CUDNN Version,Kernel Name,Warps per SM,Blocks per SM,Grid x,Grid y,Grid z,Block x,Block y,Block z,CUDA Version,Kernels,B,Input_Channel,Output_Channel,Kernel_Szie,Input_Size,Stride,Padding
conv,0.46804266174634296,NVIDIA A100 80GB PCIe,p2.1.0,8902,ampere_sgemm_128x128_nn,34.666668,4.3333335,13,1,36,256,1,1,cu121,";void cudnn::winograd_nonfused::winogradforwarddata4x4<float, float>(cudnn::winograd_nonfused::winograddataparams<float, float>);void cudnn::winograd_nonfused::winogradforwardfilter4x4<float, float>(cudnn::winograd_nonfused::winogradfilterparams<float, float>);ampere_sgemm_128x128_nn;void cudnn::winograd_nonfused::winogradforwardoutput4x4<float, float>(cudnn::winograd_nonfused::winogradoutputparams<float, float>)",25,261,90,3,25,1,1
conv,0.1941013385852178,NVIDIA A100 80GB PCIe,p2.1.0,8902,cudnn_infer_ampere_scudnn_winograd_128x128_ldg1_ldg4_relu_tile442t_nt_v1,6.6666665,0.8333333,6,3,5,256,1,1,cu121,";void cudnn::winograd::generatewinogradtileskernel<0, float, float>(cudnn::winograd::generatewinogradtilesparams<float, float>);cudnn_infer_ampere_scudnn_winograd_128x128_ldg1_ldg4_relu_tile442t_nt_v1",8,513,70,3,17,1,1
conv,0.4027839998404185,NVIDIA A100 80GB PCIe,p2.1.0,8902,ampere_sgemm_128x128_nn,10.666667,1.3333334,4,1,36,256,1,1,cu121,";void cudnn::winograd_nonfused::winogradforwarddata4x4<float, float>(cudnn::winograd_nonfused::winograddataparams<float, float>);void cudnn::winograd_nonfused::winogradforwardfilter4x4<float, float>(cudnn::winograd_nonfused::winogradfilterparams<float, float>);ampere_sgemm_128x128_nn;void cudnn::winograd_nonfused::winogradforwardoutput4x4<float, float>(cudnn::winograd_nonfused::winogradoutputparams<float, float>)",12,586,59,3,17,1,1
conv,0.17907200256983438,NVIDIA A100 80GB PCIe,p2.1.0,8902,cudnn_infer_ampere_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,11.555555,1.4444444,78,2,1,256,1,1,cu121,";void cudnn::winograd::generatewinogradtileskernel<0, float, float>(cudnn::winograd::generatewinogradtilesparams<float, float>);cudnn_infer_ampere_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1",3,213,829,3,14,1,1
conv,2.0100799401601157,NVIDIA A100 80GB PCIe,p2.1.0,8902,ampere_sgemm_128x128_nn,29.333334,3.6666667,1,11,36,256,1,1,cu121,";void cudnn::winograd_nonfused::winogradforwarddata4x4<float, float>(cudnn::winograd_nonfused::winograddataparams<float, float>);void cudnn::winograd_nonfused::winogradforwardfilter4x4<float, float>(cudnn::winograd_nonfused::winogradfilterparams<float, float>);ampere_sgemm_128x128_nn;void cudnn::winograd_nonfused::winogradforwardoutput4x4<float, float>(cudnn::winograd_nonfused::winogradoutputparams<float, float>)",13,1558,1352,3,5,1,1
conv,0.9606293241182963,NVIDIA A100 80GB PCIe,p2.1.0,8902,ampere_gcgemm_64x64_tn,10.666667,1.3333334,1,1,144,256,1,1,cu121,";void flip_filter<float, float>(float*, float const*, int, int, int, int);void fft2d_r2c_16x16<float>(float2*, float const*, int, int, int, int, int, int, int, int);void fft2d_r2c_16x16<float>(float2*, float const*, int, int, int, int, int, int, int, int);ampere_gcgemm_64x64_tn;void fft2d_c2r_16x16<float, false>(float*, float2*, int, int, int, int, int, int, int, int, int, int, float, float, int, float*, float*)",55,1658,29,3,11,1,1
conv,1.0797973076502483,NVIDIA A100 80GB PCIe,p2.1.0,8902,ampere_sgemm_128x128_nn,24.0,3.0,3,3,36,256,1,1,cu121,";void cudnn::winograd_nonfused::winogradforwarddata4x4<float, float>(cudnn::winograd_nonfused::winograddataparams<float, float>);void cudnn::winograd_nonfused::winogradforwardfilter4x4<float, float>(cudnn::winograd_nonfused::winogradfilterparams<float, float>);ampere_sgemm_128x128_nn;void cudnn::winograd_nonfused::winogradforwardoutput4x4<float, float>(cudnn::winograd_nonfused::winogradoutputparams<float, float>)",27,1212,333,3,10,1,1
conv,1.8720853726069133,NVIDIA A100 80GB PCIe,p2.1.0,8902,cudnn_infer_ampere_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,1536.8889,192.11111,741,7,4,256,1,1,cu121,";void cudnn::winograd::generatewinogradtileskernel<0, float, float>(cudnn::winograd::generatewinogradtilesparams<float, float>);cudnn_infer_ampere_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1",57,24,416,3,54,1,1
conv,4.6515733400980634,NVIDIA A100 80GB PCIe,p2.1.0,8902,cudnn_infer_ampere_scudnn_winograd_128x128_ldg1_ldg4_relu_tile442t_nt_v1,87.62963,10.953704,13,7,13,256,1,1,cu121,";void cudnn::winograd::generatewinogradtileskernel<0, float, float>(cudnn::winograd::generatewinogradtilesparams<float, float>);cudnn_infer_ampere_scudnn_winograd_128x128_ldg1_ldg4_relu_tile442t_nt_v1",52,1180,12,3,49,1,1
conv,1.4510080019632976,NVIDIA A100 80GB PCIe,p2.1.0,8902,ampere_gcgemm_64x32_nt,20.148148,5.037037,1,1,544,128,1,1,cu121,";void fft2d_r2c_32x32<float, false, 1u, true>(float2*, float const*, int, int, int, int, int, int, int, int, int, cudnn::reduced_divisor, bool, int2, int, int);void fft2d_r2c_32x32<float, false, 0u, false>(float2*, float const*, int, int, int, int, int, int, int, int, int, cudnn::reduced_divisor, bool, int2, int, int);ampere_gcgemm_64x32_nt;void fft2d_c2r_32x32<float, false, false, 0u, false, false>(float*, float2 const*, int, int, int, int, int, int, int, int, int, float, float, cudnn::reduced_divisor, bool, float*, float*, int2, int, int)",30,1410,56,3,25,1,1
