OPName,Latency,Device,Torch Version,CUDNN Version,Kernel Name,Warps per SM,Blocks per SM,Grid x,Grid y,Grid z,Block x,Block y,Block z,CUDA Version,Kernels,B,M,N,K
linear,0.05852799986799558,Tesla P4,p2.1.0,8902,maxwell_sgemm_128x32_tn,9.6,1.2,3,4,2,256,1,1,cu121,";maxwell_sgemm_128x32_tn;void splitkreduce_kernel<32, 16, int, float, float, float, float, true, true, false>(cublassplitkparams<float>, float const*, float const*, float*, float const*, float const*, float const*, float const*, float*, void*, long, float*, int*)",1,108,137,293
linear,0.052949332942565284,Tesla P4,p2.1.0,8902,maxwell_sgemm_128x32_tn,3.6,0.45,3,3,1,256,1,1,cu121,;maxwell_sgemm_128x32_tn,1,88,126,340
linear,0.07403733332951863,Tesla P4,p2.1.0,8902,maxwell_sgemm_64x64_tn,5.6,2.8,7,4,2,64,1,1,cu121,";maxwell_sgemm_64x64_tn;void splitkreduce_kernel<32, 16, int, float, float, float, float, true, true, false>(cublassplitkparams<float>, float const*, float const*, float*, float const*, float const*, float const*, float const*, float*, void*, long, float*, int*)",1,237,195,395
linear,0.058111999183893204,Tesla P4,p2.1.0,8902,maxwell_sgemm_128x32_tn,9.6,1.2,3,4,2,256,1,1,cu121,";maxwell_sgemm_128x32_tn;void splitkreduce_kernel<32, 16, int, float, float, float, float, true, true, false>(cublassplitkparams<float>, float const*, float const*, float*, float const*, float const*, float const*, float const*, float*, void*, long, float*, int*)",1,113,167,285
linear,0.04955733319123586,Tesla P4,p2.1.0,8902,maxwell_sgemm_128x32_tn,6.4,0.8,4,4,1,256,1,1,cu121,;maxwell_sgemm_128x32_tn,1,118,17,418
linear,0.05978666618466377,Tesla P4,p2.1.0,8902,maxwell_sgemm_128x32_tn,16.8,2.1,3,7,2,256,1,1,cu121,";maxwell_sgemm_128x32_tn;void splitkreduce_kernel<32, 16, int, float, float, float, float, true, true, false>(cublassplitkparams<float>, float const*, float const*, float*, float const*, float const*, float const*, float const*, float*, void*, long, float*, int*)",1,206,138,290
linear,0.058975999553998314,Tesla P4,p2.1.0,8902,maxwell_sgemm_128x32_tn,9.6,1.2,3,4,2,256,1,1,cu121,";maxwell_sgemm_128x32_tn;void splitkreduce_kernel<32, 16, int, float, float, float, float, true, true, false>(cublassplitkparams<float>, float const*, float const*, float*, float const*, float const*, float const*, float const*, float*, void*, long, float*, int*)",1,109,162,365
linear,0.07855999966462453,Tesla P4,p2.1.0,8902,maxwell_sgemm_64x64_tn,6.4,3.2,8,4,2,64,1,1,cu121,";maxwell_sgemm_64x64_tn;void splitkreduce_kernel<32, 16, int, float, float, float, float, true, true, false>(cublassplitkparams<float>, float const*, float const*, float*, float const*, float const*, float const*, float const*, float*, void*, long, float*, int*)",1,256,203,491
linear,0.05797333394487699,Tesla P4,p2.1.0,8902,maxwell_sgemm_128x32_tn,7.2,0.9,3,3,2,256,1,1,cu121,";maxwell_sgemm_128x32_tn;void splitkreduce_kernel<32, 16, int, float, float, float, float, true, true, false>(cublassplitkparams<float>, float const*, float const*, float*, float const*, float const*, float const*, float const*, float*, void*, long, float*, int*)",1,74,136,328
linear,0.058730666836102806,Tesla P4,p2.1.0,8902,maxwell_sgemm_128x32_tn,12.8,1.6,4,4,2,256,1,1,cu121,";maxwell_sgemm_128x32_tn;void splitkreduce_kernel<32, 16, int, float, float, float, float, true, true, false>(cublassplitkparams<float>, float const*, float const*, float*, float const*, float const*, float const*, float const*, float*, void*, long, float*, int*)",1,127,135,476
linear,0.06758400052785873,Tesla P4,p2.1.0,8902,maxwell_sgemm_128x32_tn,16.8,2.1,3,7,2,256,1,1,cu121,";maxwell_sgemm_128x32_tn;void splitkreduce_kernel<32, 16, int, float, float, float, float, true, true, false>(cublassplitkparams<float>, float const*, float const*, float*, float const*, float const*, float const*, float const*, float*, void*, long, float*, int*)",1,205,186,369
linear,0.06145066643754641,Tesla P4,p2.1.0,8902,maxwell_sgemm_128x32_tn,18.0,2.25,5,3,3,256,1,1,cu121,";maxwell_sgemm_128x32_tn;void splitkreduce_kernel<32, 16, int, float, float, float, float, true, true, false>(cublassplitkparams<float>, float const*, float const*, float*, float const*, float const*, float const*, float const*, float*, void*, long, float*, int*)",1,71,253,606
linear,0.05406933277845383,Tesla P4,p2.1.0,8902,maxwell_sgemm_128x32_tn,2.4,0.3,6,1,1,256,1,1,cu121,;maxwell_sgemm_128x32_tn,1,25,57,669
linear,0.06049066657821337,Tesla P4,p2.1.0,8902,maxwell_sgemm_128x32_tn,18.0,2.25,5,3,3,256,1,1,cu121,";maxwell_sgemm_128x32_tn;void splitkreduce_kernel<32, 16, int, float, float, float, float, true, true, false>(cublassplitkparams<float>, float const*, float const*, float*, float const*, float const*, float const*, float const*, float*, void*, long, float*, int*)",1,82,217,578
linear,0.08111999928951263,Tesla P4,p2.1.0,8902,maxwell_sgemm_32x128_tn,24.8,3.1,31,2,1,256,1,1,cu121,;maxwell_sgemm_32x128_tn,1,198,196,992
linear,0.05277866621812185,Tesla P4,p2.1.0,8902,maxwell_sgemm_128x32_tn,10.0,1.25,5,5,1,256,1,1,cu121,;maxwell_sgemm_128x32_tn,1,129,6,630
linear,0.0647573322057724,Tesla P4,p2.1.0,8902,maxwell_sgemm_128x32_tn,20.0,2.5,5,5,2,256,1,1,cu121,";maxwell_sgemm_128x32_tn;void splitkreduce_kernel<32, 16, int, float, float, float, float, true, true, false>(cublassplitkparams<float>, float const*, float const*, float*, float const*, float const*, float const*, float const*, float*, void*, long, float*, int*)",1,137,175,627
