,In Distribution,,,,,Out of Distribution,,,,
,BMM,FC,EW,Softmax,LN,BMM,FC,EW,Softmax,LN
Roofline,55.3630352797201,32.95704187931158,30.057202894397083,26.12131235452065,54.97247325942298,44.17542859165779,27.788186367525917,26.122228966066476,32.37043821659558,58.063730142432064,
Habitat,18.80091972424118,16.84326696675493,69.68436095171377,58.19091800023726,60.6703865744294,123.19716534906163,799.3240163020537,42.85086517227102,37.53503556679499,74.71514442602827,
Li et al.,25.56431889101526,44.77894417634867,10.547780149192281,32.495998112131765,18.629206861574623,29.99509625584783,152.62386462756638,19.995474977321894,21.963615423864244,71.55113063099392,
NeuSight,25.964286123034036,20.036277863278162,13.98120068845513,19.300312307711817,20.051629329700003,13.783606610835351,13.877862698926334,19.320422336745658,13.860094347451945,56.69360415265822,
