OPName,Latency,Device,Torch Version,CUDNN Version,Kernel Name,Warps per SM,Blocks per SM,Grid x,Grid y,Grid z,Block x,Block y,Block z,CUDA Version,B,H,large
softmax,0.1252799987792968,Tesla P100-PCIE-16GB,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 10, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",123.64286,30.910715,1731,1,1,32,4,1,cu121,6923,763,True
softmax,0.1066432014107704,Tesla P100-PCIE-16GB,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 10, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",79.35714,19.839285,1111,1,1,32,4,1,cu121,4443,972,True
softmax,0.1067008018493652,Tesla P100-PCIE-16GB,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 10, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",97.85714,24.464285,1370,1,1,32,4,1,cu121,5477,743,True
softmax,0.0948160007596015,Tesla P100-PCIE-16GB,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 10, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",98.78571,24.696428,1383,1,1,32,4,1,cu121,5529,589,True
softmax,0.116934397816658,Tesla P100-PCIE-16GB,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 10, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",126.85714,31.714285,1776,1,1,32,4,1,cu121,7103,649,True
softmax,0.1065024003386497,Tesla P100-PCIE-16GB,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 10, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",124.85714,31.214285,1748,1,1,32,4,1,cu121,6991,565,True
softmax,0.1650175988674163,Tesla P100-PCIE-16GB,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 10, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",135.0,33.75,1890,1,1,32,4,1,cu121,7559,1020,True
softmax,0.1217087998986244,Tesla P100-PCIE-16GB,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 10, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",128.64285,32.160713,1801,1,1,32,4,1,cu121,7202,687,True
softmax,0.1139840006828308,Tesla P100-PCIE-16GB,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 10, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",127.78571,31.946428,1789,1,1,32,4,1,cu121,7154,628,True
softmax,0.1237120002508163,Tesla P100-PCIE-16GB,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 10, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",122.64286,30.660715,1717,1,1,32,4,1,cu121,6865,768,True
